2013-12-16 20:43:55 status half-installed sensible-utils:all 0.0.7
2013-12-16 20:43:55 status unpacked sensible-utils:all 0.0.7
2013-12-16 20:43:55 status unpacked sensible-utils:all 0.0.7
2013-12-16 20:43:55 install passwd:armel <none> 1:4.1.5.1-1
2013-12-16 20:43:55 status half-installed passwd:armel 1:4.1.5.1-1
2013-12-16 20:43:56 status unpacked passwd:armel 1:4.1.5.1-1
2013-12-16 20:43:56 status unpacked passwd:armel 1:4.1.5.1-1
2013-12-16 20:43:56 install sysv-rc:all <none> 2.88dsf-41+deb7u1
2013-12-16 20:43:56 status half-installed sysv-rc:all 2.88dsf-41+deb7u1
2013-12-16 20:43:56 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2013-12-16 20:43:56 status unpacked sysv-rc:all 2.88dsf-41+deb7u1
2013-12-16 20:43:57 install sysvinit:armel <none> 2.88dsf-41+deb7u1
2013-12-16 20:43:57 status half-installed sysvinit:armel 2.88dsf-41+deb7u1
2013-12-16 20:43:57 status unpacked sysvinit:armel 2.88dsf-41+deb7u1
2013-12-16 20:43:57 status unpacked sysvinit:armel 2.88dsf-41+deb7u1
2013-12-16 20:43:57 install sysvinit-utils:armel <none> 2.88dsf-41+deb7u1
2013-12-16 20:43:57 status half-installed sysvinit-utils:armel 2.88dsf-41+deb7u1
2013-12-16 20:43:57 status unpacked sysvinit-utils:armel 2.88dsf-41+deb7u1
2013-12-16 20:43:57 status unpacked sysvinit-utils:armel 2.88dsf-41+deb7u1
2013-12-16 20:43:57 install tar:armel <none> 1.26+dfsg-0.1
2013-12-16 20:43:57 status half-installed tar:armel 1.26+dfsg-0.1
2013-12-16 20:43:57 status unpacked tar:armel 1.26+dfsg-0.1
2013-12-16 20:43:57 status unpacked tar:armel 1.26+dfsg-0.1
2013-12-16 20:43:58 install tzdata:all <none> 2013h-0wheezy1
2013-12-16 20:43:58 status half-installed tzdata:all 2013h-0wheezy1
2013-12-16 20:44:00 status unpacked tzdata:all 2013h-0wheezy1
2013-12-16 20:44:01 status unpacked tzdata:all 2013h-0wheezy1
2013-12-16 20:44:01 install mount:armel <none> 2.20.1-5.3
2013-12-16 20:44:01 status half-installed mount:armel 2.20.1-5.3
2013-12-16 20:44:01 status unpacked mount:armel 2.20.1-5.3
2013-12-16 20:44:01 status unpacked mount:armel 2.20.1-5.3
2013-12-16 20:44:01 install util-linux:armel <none> 2.20.1-5.3
2013-12-16 20:44:01 status half-installed util-linux:armel 2.20.1-5.3
2013-12-16 20:44:02 status unpacked util-linux:armel 2.20.1-5.3
2013-12-16 20:44:02 status unpacked util-linux:armel 2.20.1-5.3
2013-12-16 20:44:02 install xz-utils:armel <none> 5.1.1alpha+20120614-2
2013-12-16 20:44:02 status half-installed xz-utils:armel 5.1.1alpha+20120614-2
2013-12-16 20:44:02 status unpacked xz-utils:armel 5.1.1alpha+20120614-2
2013-12-16 20:44:02 status unpacked xz-utils:armel 5.1.1alpha+20120614-2
2013-12-16 20:44:02 install zlib1g:armel <none> 1:1.2.7.dfsg-13
2013-12-16 20:44:02 status half-installed zlib1g:armel 1:1.2.7.dfsg-13
2013-12-16 20:44:02 status unpacked zlib1g:armel 1:1.2.7.dfsg-13
2013-12-16 20:44:02 status unpacked zlib1g:armel 1:1.2.7.dfsg-13
2013-12-16 20:44:03 startup packages configure
2013-12-16 20:44:03 configure lsb-base:all 4.1+Debian8+deb7u1 <none>
2013-12-16 20:44:03 status unpacked lsb-base:all 4.1+Debian8+deb7u1
2013-12-16 20:44:03 status half-configured lsb-base:all 4.1+Debian8+deb7u1
2013-12-16 20:44:03 status installed lsb-base:all 4.1+Debian8+deb7u1
2013-12-16 20:44:03 configure ncurses-base:all 5.9-10 <none>
2013-12-16 20:44:03 status unpacked ncurses-base:all 5.9-10
2013-12-16 20:44:03 status unpacked ncurses-base:all 5.9-10
2013-12-16 20:44:03 status half-configured ncurses-base:all 5.9-10
2013-12-16 20:44:03 status installed ncurses-base:all 5.9-10
2013-12-16 20:44:03 configure sensible-utils:all 0.0.7 <none>
2013-12-16 20:44:03 status unpacked sensible-utils:all 0.0.7
2013-12-16 20:44:03 status half-configured sensible-utils:all 0.0.7
2013-12-16 20:44:03 status installed sensible-utils:all 0.0.7
2013-12-16 20:44:03 configure libsemanage-common:all 2.1.6-6 <none>
2013-12-16 20:44:03 status unpacked libsemanage-common:all 2.1.6-6
2013-12-16 20:44:03 status unpacked libsemanage-common:all 2.1.6-6
2013-12-16 20:44:03 status half-configured libsemanage-common:all 2.1.6-6
2013-12-16 20:44:03 status installed libsemanage-common:all 2.1.6-6
2013-12-16 20:44:03 configure gcc-4.7-base:armel 4.7.2-5 <none>
2013-12-16 20:44:03 status unpacked gcc-4.7-base:armel 4.7.2-5
2013-12-16 20:44:03 status half-configured gcc-4.7-base:armel 4.7.2-5
2013-12-16 20:44:03 status installed gcc-4.7-base:armel 4.7.2-5
2013-12-16 20:44:03 configure libc-bin:armel 2.13-38 <none>
2013-12-16 20:44:03 status unpacked libc-bin:armel 2.13-38
2013-12-16 20:44:03 status unpacked libc-bin:armel 2.13-38
